stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
134,MURMAXS,Murphy Rd @ Maxim Rd,41.743857,-72.654129,,,,,,0
135,MURMAXN,Murphy Rd @ Maxim Rd,41.744107,-72.653971,,,,,,0
136,REGRESW,Hartford Regional Market @ Reserve Rd,41.746621,-72.656145,,,,,,0
137,MURBRAW,Murphy Rd @ Brainard Rd,41.736284,-72.659016,,,,,,0
138,MURBRAE,Murphy Rd @ Brainard Rd,41.736141,-72.658738,,,,,,0
139,MAIPARKN,Main St @ Park Ave,41.778902,-72.636618,,,,,,0
141,PREGOOE,Prestige Park Rd @ Goodwin St,41.78784,-72.599026,,,,,,0
142,PREGOOW,Prestige Park Rd @ Goodwin St,41.787815,-72.599668,,,,,,0
143,JOHBURN,John Fitch Blvd @ Burnham St,41.79926,-72.618394,,,,,,0
144,JOHBURS,John Fitch Blvd @ Burnham St,41.799287,-72.618782,,,,,,0
145,NUTPLEN,Nutmeg Rd S @ Pleasant Valley Rd,41.819485,-72.607167,,,,,,0
146,NUTPLES,Nutmeg Rd S @ Pleasant Valley Rd,41.8192,-72.607459,,,,,,0
147,GOVFEDW,Governors Hwy @ Federated Logistics Operation CTR,41.832268,-72.602677,,,,,,0
152,BREMAIW,Brewer St @ Main St,41.743092,-72.632223,,,,,,0
153,BREMAIE,Brewer St @ Main St,41.742914,-72.632368,,,,,,0
157,ERIHAMS,E River Dr @ Opp Hampton Inn,41.764039,-72.662656,,,,,,0
159,MAICAPS,Main St @ Capen St,41.783619,-72.675443,,,,,,0
160,BARTOWS,Barbour St @ Tower Ave,41.797911,-72.676018,,,,,,0
161,WINPRLS,Wilson Park & Ride Lot @ Corey St,41.812555,-72.658226,,,,,,0
162,DEEPORN,Deerfield Rd @ Portman St,41.828836,-72.655555,,,,,,0
163,PARBROW,Park St @ Broad St,41.758142,-72.686788,,,,,,0
164,PARBROE,Park St @ Broad St,41.757973,-72.687261,,,,,,0
166,NEWPARS,New Park Ave @ Park St,41.756831,-72.706535,,,,,,0
167,BJNEWS,West Hartford Place @ Chick-Fil-A,41.739746,-72.720261,,,,,,0
168,PARQUAW,Park Rd @ Quaker Ln South,41.755707,-72.730157,,,,,,0
169,PARQUAE,Park Rd @ Quaker Ln South,41.755795,-72.728861,,,,,,0
170,PARSISW,Park St @ Sisson Ave,41.757188,-72.706777,,,,,,0
171,PARNEWE,Park St @ New Park Ave,41.757001,-72.706874,,,,,,0
172,SILDEAN,Silas Deane Hwy @ Jordan Ln,41.722899,-72.667923,,,,,,0
173,SILDEAS,Silas Deane Hwy @ Jordan Ln,41.722909,-72.668201,,,,,,0
174,SILMOTS,Silas Deane Hwy @ Motel 6,41.683426,-72.654508,,,,,,0
177,CHATOWS,Charter Rd @ Opp Town Line Rd,41.682369,-72.659158,,,,,,0
178,OLDGLAN,Old Main St @ Glastonbury Ave,41.665433,-72.638681,,,,,,0
180,MAIWESS,Main St @ West St,41.596046,-72.645684,,,,,,0
181,MAIWESN,Main St @ opp West St,41.595464,-72.645456,,,,,,0
183,UNIMAIE,Union St @ Main St,41.556838,-72.646607,,,,,,0
186,FOLJORN,Folly Brook Blvd @ Jordan Ln,41.722653,-72.67865,,,,,,0
188,MAIPARSN,Main St @ Park St,41.756986,-72.67567,,,,,,0
